Yield,Clusters,Long,Lat,Intercrop,Fert,Manure,Labour,Pest,Residue,Rotation,Fallow,Femhead,Mindis,Erosion,Hhsize,Headage,Meanedu,Educmax,Landsize,Nplots,FempltsF,TLU,CropD,LvstD,Ntreat,Ncrop,FertHa,Totincome,MaizeA,octEVI,novEVI,decEVI,janEVI,febEVI,marEVI,aprEVI,seasEVI,octprec,novprec,decprec,janprec,febprec,marprec,aprprec,seasprec,pdsi,lst,Maxtemp,Mintemp,Soilmoist,Silt,Sand,Clay,CEC,Orgcab,Soilbulk,DEM,MarketAccess,LivDens
176.5035858,6,34.6402359,-14.6342907,1,0,1,0,1,0,1,0,1,0,1,2,20,4,4,0.404694468,1,0,0,3,0,0,3,0,51.11568832,0.283280373,0.14261125,0.161203845,0.194373359,0.38395061,0.451801245,0.393026762,0.323774118,0.320747848,39,42,334,319,220,511,35,1500,3.799999952,39.15296578,27.89999962,18.5,1657.800049,16.20619605,21.60540172,16.51507728,24.03404053,21.60540172,137.4406313,968.7133174,18.25287593,918.657581
176.5035858,6,34.06914909,-14.31408378,0,0,1,0,0,1,0,0,1,0,0,2,65,2,4,0.607041657,1,0,0,2,0,0,1,0,43.43114471,0.566560745,0.144700006,0.176850006,0.25514999,0.406300008,0.458149999,0.518649995,0.394800007,0.383100003,39,54,341,246,223,306,87,1296,4.199999809,34.0200119,26.5,16.5,1106.199951,13.68085161,24.77113782,21.61016223,24.58651722,24.77113782,132.2888562,1251.500346,10,2573.151053
190.0807648,6,34.52611908,-14.21150204,1,0,1,0,0,0,0,0,1,1,1,3,51,0,0,0.890327811,2,0,0,3,0,0,3,0,14.77535057,0.526092142,0.198100001,0.191300005,0.223800004,0.376549989,0.440899998,0.409350008,0.39410001,0.385800004,35,34,346,340,183,410,42,1390,4.300000191,42.58998871,30,20.89999962,1659.099976,26.51960703,24.26549364,17.70149914,25.11960768,24.26549364,139.0182685,514.4215714,17,1225.436378
197.6839905,3,34.59196585,-14.43288959,1,0,1,0,0,0,1,0,0,0,0,6,34,3,4,0.809388936,2,0,0,4,0,7,4,0,85.16078186,0.50585784,0.138233757,0.160555477,0.216653623,0.346277427,0.464369859,0.419988844,0.39566774,0.374344561,36,33,337,313,192,438,29,1378,3.900000095,36.34760783,30,20.70000076,1785.800049,24.74667815,20.2849697,17.1962851,23.91154648,20.2849697,137.0503991,554.5847148,17,908.4711384
197.6839905,6,34.09573017,-14.20761674,1,0,1,0,0,0,1,0,1,0,0,6,30,2,2,0.161877781,1,0,0,4,0,2,3,0,26.71221924,0.101171568,0.124700002,0.131349996,0.137899995,0.264600009,0.47845,0.417549998,0.368000001,0.286199987,35,50,331,243,208,305,72,1244,4.199999809,37.2700119,26.60000038,16.60000038,1164.900024,29.19564249,24.12033151,31.56311079,27.60046456,24.12033151,136.3955569,1236.271656,10,2630.258604
205.9208374,6,34.52506071,-14.21219577,1,0,0,0,0,0,0,0,1,1,1,3,26,6.5,9,0.607041717,2,100,0,4,0,0,4,0,27.79710007,0.485623509,0.169799998,0.15185,0.203549996,0.39230001,0.478399992,0.484050006,0.437099993,0.42719999,35,34,346,340,183,410,42,1390,4.300000191,42.58998871,30,20.89999962,1659.099976,25.19259968,23.71366266,17.59951928,24.89452075,23.71366266,140.0991497,513.1055958,17,1213.115824
211.8042755,6,34.08932058,-14.32636966,1,0,1,0,0,1,0,0,1,1,0,3,63,0,0,0.809388936,1,0,0,3,2,0,3,0,362.9967957,0.708200991,0.157399997,0.200886516,0.229090896,0.390704953,0.496335735,0.380790516,0.385343513,0.345810522,39,53,346,250,219,309,82,1298,4.199999809,33.45000458,26.29999924,16.39999962,1174.400024,13.65484476,22.00442662,18.79757518,23.07327461,22.00442662,138.3971523,1265.751117,10,2633.1046
237.6009674,6,34.51893354,-14.22105248,0,0,1,0,0,1,0,0,0,0,1,5,75,7.25,12,0.607041717,2,0,0,2,1,0,2,0,42.09267426,0.526092142,0.157103764,0.202668133,0.287837983,0.390512738,0.517615883,0.500552216,0.393433645,0.379982926,35,34,346,340,183,410,42,1390,4.300000191,40.31999969,30,20.89999962,1659.099976,18.48267594,20.35818385,16.53912739,21.45803869,20.35818385,140.4178056,522.0117992,17,1160.537409
247.1049957,6,34.11848297,-14.18877313,1,0,0,0,0,1,0,0,1,1,1,7,65,2.75,4,0.700121403,2,0,0,5,1,0,4,0,29.76275253,0.404686272,0.180899993,0.163049996,0.288650006,0.474799991,0.525200009,0.442200005,0.352499992,0.372999996,35,50,331,243,208,305,72,1244,4.199999809,37.11998749,26.60000038,16.60000038,1164.900024,18.07235459,23.1442075,16.64110605,23.20732658,23.1442075,138.6861687,1185.740768,10,2529.85765
247.105011,6,34.51952539,-14.22675547,1,0,0,0,0,0,0,0,0,1,1,5,50,7,10,0.424929202,2,0,0,3,0,0,3,0,157.8340454,0.343983319,0.174400002,0.168400005,0.280999988,0.349949986,0.393700004,0.39594999,0.363099992,0.373400003,35,34,346,340,183,410,42,1390,4.300000191,40.6700058,30,20.89999962,1659.099976,17.00383809,19.02817914,15.33650941,21.99963609,19.02817914,141.7529626,525.9995477,17,1175.4196
